VonArm,NachArm,Von,Bis,Pkw,Krad,Rad,Lieferfzg,Lkw,Lastzug,Bus
4,2,10/12/2021 0:00,10/12/2021 0:15,20,0,0,0,1,0,0
4,2,10/12/2021 0:15,10/12/2021 0:30,24,0,0,0,0,0,0
4,2,10/12/2021 0:30,10/12/2021 0:45,13,0,0,0,0,1,0
4,2,10/12/2021 0:45,10/12/2021 1:00,6,0,0,0,0,1,0
4,2,10/12/2021 1:00,10/12/2021 1:15,6,0,0,0,0,0,0
4,2,10/12/2021 1:15,10/12/2021 1:30,10,0,0,1,2,0,0
4,2,10/12/2021 1:30,10/12/2021 1:45,10,0,0,0,0,0,0
4,2,10/12/2021 1:45,10/12/2021 2:00,7,0,0,0,0,0,0
4,2,10/12/2021 2:00,10/12/2021 2:15,7,0,0,0,0,0,0
4,2,10/12/2021 2:15,10/12/2021 2:30,1,0,0,1,0,0,0
4,2,10/12/2021 2:30,10/12/2021 2:45,4,0,0,0,0,0,0
4,2,10/12/2021 2:45,10/12/2021 3:00,1,0,0,1,0,0,0
4,2,10/12/2021 3:00,10/12/2021 3:15,3,0,0,0,0,0,0
4,2,10/12/2021 3:15,10/12/2021 3:30,7,0,0,0,0,0,0
4,2,10/12/2021 3:30,10/12/2021 3:45,4,0,0,0,0,0,0
4,2,10/12/2021 3:45,10/12/2021 4:00,4,0,0,1,0,0,0
4,2,10/12/2021 4:00,10/12/2021 4:15,9,0,1,0,0,1,0
4,2,10/12/2021 4:15,10/12/2021 4:30,7,0,0,0,0,0,0
4,2,10/12/2021 4:30,10/12/2021 4:45,11,0,0,1,0,0,1
4,2,10/12/2021 4:45,10/12/2021 5:00,23,0,0,1,0,0,0
4,2,10/12/2021 5:00,10/12/2021 5:15,32,0,0,1,0,0,0
4,2,10/12/2021 5:15,10/12/2021 5:30,68,0,0,2,0,0,0
4,2,10/12/2021 5:30,10/12/2021 5:45,82,0,0,2,0,0,0
4,2,10/12/2021 5:45,10/12/2021 6:00,40,0,0,3,1,1,1
4,2,10/12/2021 6:00,10/12/2021 6:15,83,0,0,3,1,4,0
4,2,10/12/2021 6:15,10/12/2021 6:30,100,0,0,12,1,2,0
4,2,10/12/2021 6:30,10/12/2021 6:45,120,1,0,13,6,2,0
4,2,10/12/2021 6:45,10/12/2021 7:00,165,1,0,26,2,4,0
4,2,10/12/2021 7:00,10/12/2021 7:15,179,0,0,24,6,1,0
4,2,10/12/2021 7:15,10/12/2021 7:30,210,0,0,11,5,1,0
4,2,10/12/2021 7:30,10/12/2021 7:45,266,3,0,15,2,2,0
4,2,10/12/2021 7:45,10/12/2021 8:00,268,1,0,18,8,0,0
4,2,10/12/2021 8:00,10/12/2021 8:15,213,2,0,11,5,6,0
4,2,10/12/2021 8:15,10/12/2021 8:30,204,2,0,21,8,4,0
4,2,10/12/2021 8:30,10/12/2021 8:45,181,0,0,7,12,4,0
4,2,10/12/2021 8:45,10/12/2021 9:00,151,0,0,14,4,3,0
4,2,10/12/2021 9:00,10/12/2021 9:15,168,0,0,10,9,3,0
4,2,10/12/2021 9:15,10/12/2021 9:30,168,1,0,6,5,7,0
4,2,10/12/2021 9:30,10/12/2021 9:45,155,1,0,8,4,3,0
4,2,10/12/2021 9:45,10/12/2021 10:00,178,0,0,15,3,2,0
4,2,10/12/2021 10:00,10/12/2021 10:15,150,1,0,12,9,3,1
4,2,10/12/2021 10:15,10/12/2021 10:30,176,0,0,14,5,3,0
4,2,10/12/2021 10:30,10/12/2021 10:45,166,0,0,9,3,3,0
4,2,10/12/2021 10:45,10/12/2021 11:00,166,1,0,11,8,3,2
4,2,10/12/2021 11:00,10/12/2021 11:15,175,1,0,8,7,6,0
4,2,10/12/2021 11:15,10/12/2021 11:30,173,1,0,13,7,4,0
4,2,10/12/2021 11:30,10/12/2021 11:45,183,0,0,12,4,7,0
4,2,10/12/2021 11:45,10/12/2021 12:00,182,0,0,6,6,1,0
4,2,10/12/2021 12:00,10/12/2021 12:15,215,1,0,8,3,1,0
4,2,10/12/2021 12:15,10/12/2021 12:30,199,0,0,14,6,2,0
4,2,10/12/2021 12:30,10/12/2021 12:45,211,0,0,8,4,0,0
4,2,10/12/2021 12:45,10/12/2021 13:00,194,1,0,12,8,3,0
4,2,10/12/2021 13:00,10/12/2021 13:15,224,2,0,15,7,3,0
4,2,10/12/2021 13:15,10/12/2021 13:30,209,2,0,11,7,4,0
4,2,10/12/2021 13:30,10/12/2021 13:45,191,1,0,7,6,4,0
4,2,10/12/2021 13:45,10/12/2021 14:00,185,0,0,9,5,3,0
4,2,10/12/2021 14:00,10/12/2021 14:15,211,1,0,12,6,5,0
4,2,10/12/2021 14:15,10/12/2021 14:30,203,0,0,13,13,4,0
4,2,10/12/2021 14:30,10/12/2021 14:45,227,1,0,13,7,2,1
4,2,10/12/2021 14:45,10/12/2021 15:00,246,1,0,14,6,2,0
4,2,10/12/2021 15:00,10/12/2021 15:15,216,0,0,16,0,2,0
4,2,10/12/2021 15:15,10/12/2021 15:30,262,1,0,18,10,5,0
4,2,10/12/2021 15:30,10/12/2021 15:45,257,1,0,14,2,3,0
4,2,10/12/2021 15:45,10/12/2021 16:00,299,2,0,21,6,1,0
4,2,10/12/2021 16:00,10/12/2021 16:15,270,1,0,11,2,3,0
4,2,10/12/2021 16:15,10/12/2021 16:30,293,0,0,14,6,4,0
4,2,10/12/2021 16:30,10/12/2021 16:45,311,0,0,16,4,2,0
4,2,10/12/2021 16:45,10/12/2021 17:00,293,1,0,15,5,0,0
4,2,10/12/2021 17:00,10/12/2021 17:15,258,1,0,11,1,2,0
4,2,10/12/2021 17:15,10/12/2021 17:30,286,0,0,15,6,3,0
4,2,10/12/2021 17:30,10/12/2021 17:45,288,1,0,14,1,0,0
4,2,10/12/2021 17:45,10/12/2021 18:00,307,0,0,6,3,1,0
4,2,10/12/2021 18:00,10/12/2021 18:15,275,1,0,10,0,2,0
4,2,10/12/2021 18:15,10/12/2021 18:30,221,0,0,6,1,2,0
4,2,10/12/2021 18:30,10/12/2021 18:45,225,0,0,7,0,3,0
4,2,10/12/2021 18:45,10/12/2021 19:00,184,0,0,10,3,1,0
4,2,10/12/2021 19:00,10/12/2021 19:15,158,1,0,5,0,1,0
4,2,10/12/2021 19:15,10/12/2021 19:30,162,0,0,5,0,0,0
4,2,10/12/2021 19:30,10/12/2021 19:45,137,0,0,5,1,0,0
4,2,10/12/2021 19:45,10/12/2021 20:00,124,0,0,4,0,1,0
4,2,10/12/2021 20:00,10/12/2021 20:15,115,0,0,5,0,0,0
4,2,10/12/2021 20:15,10/12/2021 20:30,81,0,0,2,0,0,0
4,2,10/12/2021 20:30,10/12/2021 20:45,77,0,0,0,0,1,0
4,2,10/12/2021 20:45,10/12/2021 21:00,86,0,0,2,0,0,0
4,2,10/12/2021 21:00,10/12/2021 21:15,103,0,0,1,0,1,0
4,2,10/12/2021 21:15,10/12/2021 21:30,93,0,0,0,0,0,0
4,2,10/12/2021 21:30,10/12/2021 21:45,76,0,0,1,0,0,0
4,2,10/12/2021 21:45,10/12/2021 22:00,59,0,0,0,0,0,0
4,2,10/12/2021 22:00,10/12/2021 22:15,70,0,0,0,1,0,0
4,2,10/12/2021 22:15,10/12/2021 22:30,58,0,0,2,0,0,0
4,2,10/12/2021 22:30,10/12/2021 22:45,60,0,0,0,1,0,0
4,2,10/12/2021 22:45,10/12/2021 23:00,35,0,0,0,0,0,0
4,2,10/12/2021 23:00,10/12/2021 23:15,37,0,0,0,0,0,0
4,2,10/12/2021 23:15,10/12/2021 23:30,40,0,0,0,0,0,0
4,2,10/12/2021 23:30,10/12/2021 23:45,24,0,0,2,0,0,0
4,2,10/12/2021 23:45,10/13/2021 0:00,20,0,0,0,0,0,0
